original_sentence,truncated_sentence
The Alabama Alcoholic Beverage Control Board controls the sale and distribution of alcoholic beverages in the state.,The Alabama Alcoholic Beverage Control
"The Alabama Fever land rush was underway when the state was admitted to the Union, with settlers and land speculators pouring into the state to take advantage of fertile land suitable for cotton cultivation.",The Alabama Fever land rush
"The Best Documentary Feature award requires either week-long releases in both Los Angeles County and any of the five boroughs of New York City during the previous calendar year, or a qualifying award at a competitive film festival from the Documentary Feature Qualifying Festival list (regardless of any public exhibition or distribution), or submission in the International Feature Film category as its country's official selection.",The Best Documentary Feature award
The British won the territory in 1763 until losing it in the American Revolutionary War.,The British won the territory
"The Democratic platform followed the ""Peace wing"" of the party and called the war a ""failure""; but their candidate, McClellan, supported the war and repudiated the platform.",The Democratic platform followed the
"The Emancipation Proclamation having stated that freedmen would be ""received into the armed service of the United States,"" enlisting these freedmen became official policy.",The Emancipation Proclamation having stated
"The English mathematician George Boole fully accepted Aristotle's logic, but decided ""to go under, over, and beyond"" it with his system of algebraic logic in his 1854 book The Laws of Thought.",The English mathematician George Boole
The Etruscans brought the Greek alphabet to their civilization in the Italian Peninsula and left the letter unchanged.,The Etruscans brought the Greek
"The Federal government's power to end slavery was limited by the Constitution, which before 1865 was understood to reserve the issue to the individual states.",The Federal government's power to
"The Gershwin family, working in conjunction with the Library of Congress and the University of Michigan, were working to make scores available to the public that represent Gershwin's true intent.","The Gershwin family, working in"
"The Goodyear Tire and Rubber Company operates a large plant in Gadsden which employs about 1,400 people.",The Goodyear Tire and Rubber
"The Greek geographer Dionysius Periegetes, who likely lived during the first century CE, wrote that the island was called Leuce ""because the wild animals which live there are white.","The Greek geographer Dionysius Periegetes,"
"The Greek tragedian Aeschylus wrote a trilogy of plays about Achilles, given the title Achilleis by modern scholars.",The Greek tragedian Aeschylus wrote
"The Gulf Coast, around Mobile Bay, averages between 70 and 80 days per year with thunder reported.","The Gulf Coast, around Mobile"
"The Homeric epic only covers a few weeks of the decade-long war, and does not narrate Achilles' death.",The Homeric epic only covers
"The International became a significant political force, with Karl Marx being a leading figure and a member of its General Council.",The International became a significant
The Lincoln Administration presided over the expansion of the federal government's economic influence in other areas.,The Lincoln Administration presided over
The National Banking Act created the system of national banks.,The National Banking Act created
The Oscars have been infamously known for selecting specific genres of movies to be awarded.,The Oscars have been infamously
"The Oscars were first televised in 1953 by NBC, which continued to broadcast the event until 1960, when ABC took over, televising the festivities (including the first color broadcast of the event in 1966) through 1970.",The Oscars were first televised
The Port of Mobile was ranked 12th by tons of traffic in the United States during 2009.,The Port of Mobile was
The Senate campaign featured seven debates between Lincoln and Douglas.,The Senate campaign featured seven
"The South was outraged by Lincoln's election, and in response secessionists implemented plans to leave the Union before he took office in March 1861.",The South was outraged by
The Spanish were the first Europeans to reach Alabama during their exploration of North America in the 16th century.,The Spanish were the first
The Talladega Superspeedway motorsports complex hosts a series of NASCAR events.,The Talladega Superspeedway motorsports complex
"The Trojans, led by Hector, subsequently push the Greek army back toward the beaches and assault the Greek ships.","The Trojans, led by Hector,"
"The United States Congress created the Alabama Territory on March 3, 1817.",The United States Congress created
"The United States Department of Justice, having heard of this potential rule change, wrote a letter to the Academy in March 2019, cautioning them that placing additional restrictions on films that originate from streaming media services without proper justification could raise anti-trust concerns against the Academy.",The United States Department of
"The United States Navy   is named after Lincoln, the second Navy ship to bear his name.",The United States Navy is
"The Yazoo lands were added to the territory in 1804, following the Yazoo land scandal.",The Yazoo lands were added
"The agrarian Mississippian culture covered most of the state from 1000 to 1600 CE, with one of its major centers built at what is now the Moundville Archaeological Site in Moundville, Alabama.",The agrarian Mississippian culture covered
The apparatus consisted of a dark chamber with a small aperture that let light in.,The apparatus consisted of a
The armour they fought for was made by Hephaestus and thus much stronger and more beautiful than any armour a mortal could craft.,The armour they fought for
The average annual temperature is 64°F (18°C).,The average annual temperature is
"The best known award is the Academy Award of Merit, more popularly known as the Oscar statuette.",The best known award is
"The building is named the Achilleion, after Achilles.",The building is named the
The case is famous for Lincoln's use of a fact established by judicial notice to challenge the credibility of an eyewitness.,The case is famous for
The caskets containing Lincoln's body and the body of his son Willie traveled for three weeks on the Lincoln Special funeral train.,The caskets containing Lincoln's body
"The category's original name was Best Art Direction, but was changed to its current name in 2012 for the 85th Academy Awards.",The category's original name was
"The ceremonies were moved up from late March/early April to late February, since 2004, to help disrupt and shorten the intense lobbying and ad campaigns associated with Oscar season in the film industry.",The ceremonies were moved up
The changes made by Campbell-Watson were withdrawn in both editions.,The changes made by Campbell-Watson
The common modern understanding of a political community as a modern state is quite different from Aristotle's understanding.,The common modern understanding of
"The company also operates terminals in Mobile, Melvin, and Moundville.",The company also operates terminals
"The company wore new uniforms with yellow trim on the sleeves, collar and coattails.",The company wore new uniforms
"The connection between anarchism and art was quite profound during the classical era of anarchism, especially among artistic currents that were developing during that era such as futurists, surrealists and others.",The connection between anarchism and
The cost of guest tickets for that night's ceremony was $5 ($ at 2020 prices).,The cost of guest tickets
"The cult of Achilles is illustrated in the 500 BC Polyxena sarcophagus, which depicts the sacrifice of Polyxena near the tumulus of Achilles.",The cult of Achilles is
"The current split is 18 Democrats, and 49 Republicans as of 2023.",The current split is 18
"The death of Achilles, even if considered solely as it occurred in the oldest sources, is a complex one, with many different versions.","The death of Achilles, even"
The death of his son Willie in February 1862 may have caused him to look toward religion for solace.,The death of his son
"The deaths of their sons, Eddie and Willie, had profound effects on both parents.","The deaths of their sons,"
"The debate over the status of slavery in the territories failed to alleviate tensions between the slave-holding South and the free North, with the failure of the Compromise of 1850, a legislative package designed to address the issue.",The debate over the status
The decision-making process of small anarchist affinity groups plays a significant tactical role.,The decision-making process of small
The direct (albedo) effect is generally to cool the planet; the indirect effect (the particles act as cloud condensation nuclei and thereby change cloud properties) is less certain.,The direct (albedo) effect is
"The double  sequence does not occur in native English words, but is found in some words derived from foreign languages such as Aaron and aardvark.",The double sequence does not
"The dynamical nature of albedo in response to positive feedback, together with the effects of small errors in the measurement of albedo, can lead to large errors in energy estimates.",The dynamical nature of albedo
"The earlier date is also to the advantage of ABC, as it now usually occurs during the highly profitable and important February sweeps period.",The earlier date is also
"The earliest known certain ancestor of ""A"" is aleph (also written 'aleph), the first letter of the Phoenician alphabet, which consisted entirely of consonants (for that reason, it is also called an abjad to distinguish it from a true alphabet).",The earliest known certain ancestor
"The economy of the central Black Belt (named for its dark, productive soil) was built around large cotton plantations whose owners' wealth grew mainly from slave labor.",The economy of the central
"The eight models produced at the state's auto factories totaled combined sales of 74,335 vehicles for 2012.",The eight models produced at
"The episode then formed the basis of the cyclic epic Aethiopis, which was composed after the Iliad, possibly in the 7th century BC.",The episode then formed the
"The etymological origin of anarchism is from the Ancient Greek anarkhia, meaning ""without a ruler"", composed of the prefix an- (""without"") and the word arkhos (""leader"" or ""ruler"").",The etymological origin of anarchism
The exact nature of Achilles' relationship with Patroclus has been a subject of dispute in both the classical period and modern times.,The exact nature of Achilles'
The executive branch is responsible for the execution and oversight of laws.,The executive branch is responsible
The expedition of Hernando de Soto passed through Mabila and other parts of the state in 1540.,The expedition of Hernando de
"The films below are listed with their production year (for example, the 2000 Academy Award for Best Art Direction is given to a film from 1999).",The films below are listed
"The first Greek Christians to comment extensively on Aristotle were Philoponus, Elias, and David in the sixth century, and Stephen of Alexandria in the early seventh century.",The first Greek Christians to
"The first Oscars, in 1929, lasted 15 minutes.","The first Oscars, in 1929,"
"The first anarchist currents developed throughout the 18th century as William Godwin espoused philosophical anarchism in England, morally delegitimising the state, Max Stirner's thinking paved the way to individualism and Pierre-Joseph Proudhon's theory of mutualism found fertile soil in France.",The first anarchist currents developed
The first community of adherents of the Baháʼí Faith in Alabama was founded in 1896 by Paul K.,The first community of adherents
"The first medical teacher at Alexandria, Herophilus of Chalcedon, corrected Aristotle, placing intelligence in the brain, and connected the nervous system to motion and sensation.",The first medical teacher at
"The first political philosopher to call himself an anarchist () was Pierre-Joseph Proudhon (1809–1865), marking the formal birth of anarchism in the mid-19th century.",The first political philosopher to
"The first recording was made for the Victor Talking Machine Company in 1929 with Nathaniel Shilkret conducting the Victor Symphony Orchestra, drawn from members of the Philadelphia Orchestra.",The first recording was made
The first to do so was screenwriter Dudley Nichols (Best Writing in 1935 for The Informer).,The first to do so
The form includes the production credits for all related categories.,The form includes the production
"The foundational document for Alabama's government is the Alabama Constitution, which was ratified in 1901.",The foundational document for Alabama's
The glint of light off water is a commonplace effect of this.,The glint of light off
The grief or distress of the people is a theme raised numerous times in the Iliad (and frequently by Achilles himself).,The grief or distress of
"The heroic cult dedicated to Achilles on Leuce seems to go back to an account from the lost epic Aethiopis according to which, after his untimely death, Thetis had snatched her son from the funeral pyre and removed him to a mythical  (Leúkē Nêsos ""White Island"").",The heroic cult dedicated to
The immediate influence of Aristotle's work was felt as the Lyceum grew into the Peripatetic school.,The immediate influence of Aristotle's
"The individualist current emphasises negative liberty in opposing restraints upon the free individual, while the social current emphasises positive liberty in aiming to achieve the free potential of society through equality and social ownership.",The individualist current emphasises negative
"The influence of his physical science extended from late antiquity and the Early Middle Ages into the Renaissance, and was not replaced systematically until the Enlightenment and theories such as classical mechanics were developed.",The influence of his physical
The interest of anarchists in education stretches back to the first emergence of classical anarchism.,The interest of anarchists in
The judiciary is responsible for interpreting the Constitution of Alabama and applying the law in state criminal and civil cases.,The judiciary is responsible for
"The kings of Epirus claimed to be descended from Achilles through his son, Neoptolemus.",The kings of Epirus claimed
The lack of home rule for counties in Alabama has resulted in the proliferation of local legislation permitting counties to do things not authorized by the state constitution.,The lack of home rule
"The largest single campus is the University of Alabama, located in Tuscaloosa, with 37,665 enrolled for fall 2016.",The largest single campus is
"The late President lay in state, first in the East Room of the White House, and then in the Capitol Rotunda from April 19 to 21.",The late President lay in
The law subjects doctors who perform abortions with 10 to 99 years imprisonment.,The law subjects doctors who
"The legislative branch is the Alabama Legislature, a bicameral assembly composed of the Alabama House of Representatives, with 105 members, and the Alabama Senate, with 35 members.",The legislative branch is the
"The library was stored there for about a century and a half, in conditions that were not ideal for document preservation.",The library was stored there
The major award categories are presented during a live televised Hollywood ceremony that is typically held in February or March.,The major award categories are
"The major awards are presented at a live televised ceremony, commonly in late February or early March following the relevant calendar year, and six weeks after the announcement of the nominees.",The major awards are presented
The members of the Legislature take office immediately after the November elections.,The members of the Legislature
"The museum development started in 2017 under Kerry Brougher, but is now led by Bill Kramer.",The museum development started in
"The new 1901 Constitution of Alabama included provisions for voter registration that effectively disenfranchised large portions of the population, including nearly all African Americans and Native Americans, and tens of thousands of poor European Americans, through making voter registration difficult, requiring a poll tax and literacy test.",The new 1901 Constitution of
"The new Republican Party was formed as a northern party dedicated to antislavery, drawing from the antislavery wing of the Whig Party and combining Free Soil, Liberty, and antislavery Democratic Party members, Lincoln resisted early Republican entreaties, fearing that the new party would become a platform for extreme abolitionists.",The new Republican Party was
The oldest Jewish congregation in the state is Congregation Sha'arai Shomayim in Mobile.,The oldest Jewish congregation in
"The oldest, Robert Todd Lincoln, was born in 1843 and was the only child to live to maturity.","The oldest, Robert Todd Lincoln,"
"The order of the books (or the teachings from which they are composed) is not certain, but this list was derived from analysis of Aristotle's writings.",The order of the books
"The party did the leg work that produced majorities across the North and produced an abundance of campaign posters, leaflets, and newspaper editorials.",The party did the leg
The peak season for tornadoes varies from the northern to southern parts of the state.,The peak season for tornadoes
"The piece is structured into five sections, which culminate in a loose A–B–A format.",The piece is structured into
"The plans include a $600million factory at the Brookley Aeroplex for the assembly of the A319, A320 and A321 aircraft.",The plans include a $600million
The post-awards party was held at the Mayfair Hotel.,The post-awards party was held
The principle of equal liberty is closer to anarchist political ethics in that it transcends both the liberal and socialist traditions.,The principle of equal liberty
"The proportion reflected is not only determined by properties of the surface itself, but also by the spectral and angular distribution of solar radiation reaching the Earth's surface.",The proportion reflected is not
The qualifying theatrical runs must meet the same requirements as those for non-documentary films regarding numbers and times of screenings.,The qualifying theatrical runs must
"The reasons given for the move were that more viewers would tune in on Sundays, that Los Angeles rush-hour traffic jams could be avoided, and an earlier start time would allow viewers on the East Coast to go to bed earlier.",The reasons given for the
"The response of the climate system to an initial forcing is modified by feedbacks: increased by ""self-reinforcing"" or ""positive"" feedbacks and reduced by ""balancing"" or ""negative"" feedbacks.",The response of the climate
"The rural-dominated Alabama legislature consistently underfunded schools and services for the disenfranchised African Americans, but it did not relieve them of paying taxes.",The rural-dominated Alabama legislature consistently
The score to An American in Paris was scheduled to be issued first in a series of scores to be released.,The score to An American
The single largest increase came in the area of information.,The single largest increase came
"The spread and intensity of the hero's veneration among the Greeks that had settled on the northern coast of the Pontus Euxinus, today's Black Sea, appears to have been remarkable.",The spread and intensity of
"The state has invested in aerospace, education, health care, banking, and various heavy industries, including automobile manufacturing, mineral extraction, steel production and fabrication.",The state has invested in
The state is classified as humid subtropical (Cfa) under the Koppen Climate Classification.,The state is classified as
"The state legislature has retained power over local governments by refusing to pass a constitutional amendment establishing home rule for counties, as recommended by the 1973 Alabama Constitutional Commission.",The state legislature has retained
The state's general sales tax rate is 4%.,The state's general sales tax
"The state's geography is diverse, with the north dominated by the mountainous Tennessee Valley and the south by Mobile Bay, a historically significant port.","The state's geography is diverse,"
The state's highest court is the Supreme Court of Alabama.,The state's highest court is
The statuettes presented at the initial ceremonies were gold-plated solid bronze.,The statuettes presented at the
"The study of albedos, their dependence on wavelength, lighting angle (""phase angle""), and variation in time composes a major part of the astronomical field of photometry.","The study of albedos, their"
The successful reunification of the states had consequences for how people viewed the country.,The successful reunification of the
The suffix -ism denotes the ideological current that favours anarchy.,The suffix -ism denotes the
"The tens of thousands of hectares of greenhouses in Almería, Spain form a large expanse of whitened plastic roofs.",The tens of thousands of
"The term ""Oscar bait"" was coined to describe such movies.","The term ""Oscar bait"" was"
"The term ""logic"" he reserved to mean dialectics.","The term ""logic"" he reserved"
"The term ""the United States"" has historically been used sometimes in the plural (""these United States"") and other times in the singular.","The term ""the United States"""
"The third person to refuse the award was Marlon Brando, who refused his award (Best Actor for 1972's The Godfather), citing the film industry's discrimination and mistreatment of Native Americans.",The third person to refuse
"The tomb of Achilles, extant throughout antiquity in Troad, was venerated by Thessalians, but also by Persian expeditionary forces, as well as by Alexander the Great and the Roman emperor Caracalla.","The tomb of Achilles, extant"
"The tragedian Sophocles also wrote The Lovers of Achilles, a play with Achilles as the main character.",The tragedian Sophocles also wrote
"The tragedies relate the deeds of Achilles during the Trojan War, including his defeat of Hector and eventual death when an arrow shot by Paris and guided by Apollo punctures his heel.",The tragedies relate the deeds
The two get into a discussion about lying.,The two get into a
"The word ""metaphysics"" appears to have been coined by the first century AD editor who assembled various small selections of Aristotle's works to the treatise we know by the name Metaphysics.","The word ""metaphysics"" appears to"
The works of Aristotle that have survived from antiquity through medieval manuscript transmission are collected in the Corpus Aristotelicum.,The works of Aristotle that
"The year's elections showed the strong opposition to the Kansas–Nebraska Act, and in the aftermath, Lincoln sought election to the United States Senate.",The year's elections showed the
"Then Aristotle proceeds and concludes that the actuality is prior to potentiality in formula, in time and in substantiality.",Then Aristotle proceeds and concludes
Then followed his four terms in the Illinois House of Representatives for Sangamon County.,Then followed his four terms
There are six Dharma centers and organizations for Theravada Buddhists.,There are six Dharma centers
There has been a significant movement to rewrite and modernize Alabama's constitution.,There has been a significant
"There were two measures passed to raise revenues for the Federal government: tariffs (a policy with long precedent), and a Federal income tax.",There were two measures passed
"There, Achilles, properly disguised, lived among Lycomedes' daughters, perhaps under the name ""Pyrrha"" (the red-haired girl), Cercysera or Aissa (""swift"").","There, Achilles, properly disguised, lived"
"There, Andronicus of Rhodes organized the texts into the first complete edition of Aristotle's works (and works attributed to him).","There, Andronicus of Rhodes organized"
These are often based on photographs of Lincoln appearing to show weight loss and muscle wasting.,These are often based on
"These calculations are based on the bidirectional reflectance distribution function (BRDF), which describes how the reflectance of a given surface depends on the view angle of the observer and the solar angle.",These calculations are based on
These campaigns are intended to spread negative perceptions of other movies nominated and are believed to be perpetrated by those that were involved in creating the movie.,These campaigns are intended to
"These texts, as opposed to Aristotle's lost works, are technical philosophical treatises from within Aristotle's school.","These texts, as opposed to"
"These thinkers blended Aristotelian philosophy with Christianity, bringing the thought of Ancient Greece into the Middle Ages.",These thinkers blended Aristotelian philosophy
These translations are available in several places online; see External links.,These translations are available in
"These variants, the Italic and Roman forms, were derived from the Caroline Script version.","These variants, the Italic and"
These were the most famous political debates in American history; they had an atmosphere akin to a prizefight and drew crowds in the thousands.,These were the most famous
"These, and other Muslim movements, later gave birth to religious anarchism.","These, and other Muslim movements,"
Thetis had the gear made for Achilles because his first set was worn by Patroclus when he went to battle and taken by Hector when he killed Patroclus.,Thetis had the gear made
"Thetis, although a daughter of the sea-god Nereus, was also brought up by Hera, further explaining her resistance to the advances of Zeus.","Thetis, although a daughter of"
"They are presented annually by the Academy of Motion Picture Arts and Sciences located in Beverly Hills, California, United States, in recognition of excellence in cinematic achievements as assessed by the Academy's voting membership.",They are presented annually by
"They competed for it by giving speeches on why they were the bravest after Achilles to their Trojan prisoners, who, after considering both men's presentations, decided Odysseus was more deserving of the armour.",They competed for it by
They held on to old representation to maintain political and economic power in agricultural areas.,They held on to old
"They mostly engage in confronting the police during demonstrations and riots, especially in countries such as Canada, Greece, and Mexico.",They mostly engage in confronting
They saw it as a part of the movement which sought to overthrow the state and capitalism.,They saw it as a
"They were followed by the major currents of social anarchism (collectivist, communist and syndicalist).",They were followed by the
"They wrote another constitution in 1875, and the legislature passed the Blaine Amendment, prohibiting public money from being used to finance religious-affiliated schools.",They wrote another constitution in
"This benefited the urban areas that had developed, as well as all in the population who had been underrepresented for more than sixty years.",This benefited the urban areas
This call forced states to choose sides.,This call forced states to
"This can take the form of disrupting and protesting against unjust hierarchy, or the form of self-managing their lives through the creation of counter-institutions such as communes and non-hierarchical collectives.",This can take the form
This had caused decades of underinvestment in such areas.,This had caused decades of
"This has been a concern since arctic ice and snow has been melting at higher rates due to higher temperatures, creating regions in the arctic that are notably darker (being water or ground which is darker color) and reflects less heat back into space.",This has been a concern
This has generated accusations of the Academy Awards being influenced more by marketing than by quality.,This has generated accusations of
"This has led situations where a film has two or more co-leads, and one of these is submitted in a supporting category to avoid the two leads competing against each other, and to increase the film's chances of winning.",This has led situations where
This has resulted in more proportional representation for voters.,This has resulted in more
"This is the Wetumpka crater, the site of ""Alabama's greatest natural disaster"".","This is the Wetumpka crater,"
"This is the second-largest complex of the classic Middle Mississippian era, after Cahokia in present-day Illinois, which was the center of the culture.",This is the second-largest complex
This may have both been co-caused by climate change as well as a substantial increase in global warming.,This may have both been
This notion was popularized in the 1850s through the writings of Alexander Beaufort Meek.,This notion was popularized in
"This period in Athens, between 335 and 323 BC, is when Aristotle is believed to have composed many of his works.","This period in Athens, between"
This segment has drawn criticism over the years for the omission of some names.,This segment has drawn criticism
"This style is common in modern biology when large amounts of data become available in a new field, such as genomics.",This style is common in
"Thomas Bassett, a loyalist to the British monarchy during the Revolutionary era, was one of the earliest white settlers in the state outside Mobile.","Thomas Bassett, a loyalist to"
Thomas Hobbes and other early social contract theorists argued that the state emerges in response to natural anarchy in order to protect the people's interests and keep order.,Thomas Hobbes and other early
Thomas Lincoln bought or leased farms in Kentucky before losing all but  of his land in court disputes over property titles.,Thomas Lincoln bought or leased
"Thomas Little
 Walter M.",Thomas Little Walter M.
"Thomas and Nancy married on June 12, 1806, in Washington County, and moved to Elizabethtown, Kentucky.",Thomas and Nancy married on
"Those citing ""American"" ancestry in Alabama are of overwhelmingly English extraction, however most English Americans identify simply as having American ancestry because their roots have been in North America for so long, in many cases since the early 1600s.","Those citing ""American"" ancestry in"
Those components of the received echo that return from first-surface reflections (as from a smooth or mirror-like surface) are dominated by the OC component as there is a reversal in polarization upon reflection.,Those components of the received
"Though Aristotle wrote many elegant treatises and dialogues for publication, only around a third of his original output has survived, none of it intended for publication.",Though Aristotle wrote many elegant
"Though his decision caused controversy, the first Oscar ever to be sold passed to a private collector on August 6, 1992 for $60,500 ($ today).","Though his decision caused controversy,"
"Though interest in Aristotle's ideas survived, they were generally taken unquestioningly.",Though interest in Aristotle's ideas
"Though mild in manner, he was very fierce in battle.","Though mild in manner, he"
"Though the Republican legislative candidates won more popular votes, the Democrats won more seats, and the legislature re-elected Douglas.",Though the Republican legislative candidates
"Thought 
Anarchist schools of thought have been generally grouped into two main historical traditions, social anarchism and individualist anarchism, owing to their different origins, values and evolution.",Thought Anarchist schools of thought
Three overlapping properties made art useful to anarchists.,Three overlapping properties made art
"Throughout the 1850s, Lincoln had doubted the prospects of civil war, and his supporters rejected claims that his election would incite secession.","Throughout the 1850s, Lincoln had"
"ThyssenKrupp's stainless steel division, Inoxum, including the stainless portion of the Calvert plant, was sold to Finnish stainless steel company Outokumpu in 2012.","ThyssenKrupp's stainless steel division, Inoxum,"
"To fill Chief Justice Taney's seat on the Supreme Court, he named the Radicals' choice, Salmon P.",To fill Chief Justice Taney's
"To search for these impressions, people search the memory itself.","To search for these impressions,"
"To the contrary, in the Iliad, Homer mentions Achilles being wounded: in Book 21 the Paeonian hero Asteropaios, son of Pelagon, challenged Achilles by the river Scamander.","To the contrary, in the"
"Tom Hanks announced, at the 2020 Oscar Ceremony, the opening of the Academy Museum of Motion Pictures on December 14, 2020.","Tom Hanks announced, at the"
Trees also impact climate in extremely complicated ways through evapotranspiration.,Trees also impact climate in
"Tropical and sub-tropical rainforest areas have low albedo, and are much hotter than their temperate forest counterparts, which have lower insolation.",Tropical and sub-tropical rainforest areas
"Troy University was the largest institution in the state in 2010, with an enrollment of 29,689 students across four Alabama campuses (Troy, Dothan, Montgomery, and Phenix City), as well as sixty learning sites in seventeen other states and eleven other countries.",Troy University was the largest
"True to his record, Lincoln professed to friends in 1861 to be ""an old line Whig, a disciple of Henry Clay"".","True to his record, Lincoln"
Tuscaloosa and operates a refinery there.,Tuscaloosa and operates a refinery
"Twice a week, Lincoln met with his cabinet in the afternoon.","Twice a week, Lincoln met"
Twice a year he appeared for 10 consecutive weeks in county seats in the Midstate county courts; this continued for 16 years.,Twice a year he appeared
Two common optical albedos that are used in astronomy are the (V-band) geometric albedo (measuring brightness when illumination comes from directly behind the observer) and the Bond albedo (measuring total proportion of electromagnetic energy reflected).,Two common optical albedos that
"Two days after McClellan's return to command, General Robert E.",Two days after McClellan's return
Two urtext editions of the work were published by the German publisher B-Note Music in 2015.,Two urtext editions of the
"Two weeks later, Booth, refusing to surrender, was tracked to a farm in Virginia, and was mortally shot by Sergeant Boston Corbett and died on April 26.","Two weeks later, Booth, refusing"
"UAB is the largest state government employer in Alabama, with a workforce of about 18,000.",UAB is the largest state
"US, a box office record that would remain unsurpassed for years.","US, a box office record"
"Union military strategy
Lincoln took executive control of the war and shaped the Union military strategy.",Union military strategy Lincoln took
"Unless given for a specific wavelength (spectral albedo), albedo refers to the entire spectrum of solar radiation.",Unless given for a specific
"Until 1964, the state elected state senators on a geographic basis by county, with one per county.","Until 1964, the state elected"
"Until 1994, no Republicans held any of the court seats.","Until 1994, no Republicans held"
"Until 2010, winners returned their statuettes to the Academy and had to wait several weeks to have their names inscribed on their respective Oscars.","Until 2010, winners returned their"
"Use in film
In 1951, Metro-Goldwyn-Mayer released the musical film An American in Paris, featuring Gene Kelly and Leslie Caron and directed by Vincente Minnelli.","Use in film In 1951,"
Variation in summer albedo across both forest types is associated with maximum rates of photosynthesis because plants with high growth capacity display a greater fraction of their foliage for direct interception of incoming radiation in the upper canopy.,Variation in summer albedo across
"Venues 
In 1929, the first Academy Awards were presented at a banquet dinner at The Hollywood Roosevelt Hotel.","Venues In 1929, the first"
"Violent political confrontations in Kansas continued, and opposition to the Kansas–Nebraska Act remained strong throughout the North.",Violent political confrontations in Kansas
"Virgil refers to Achilles as a savage and a merciless butcher of men, while Horace portrays Achilles ruthlessly slaying women and children.",Virgil refers to Achilles as
"Visual arts 
 Achilles with the Daughters of Lycomedes is a subject treated in paintings by Anthony van Dyck (before 1618; Museo del Prado, Madrid) and Nicolas Poussin (; Museum of Fine Arts, Boston) among others.",Visual arts Achilles with the
Wanna see an Academy Awards invite?,Wanna see an Academy Awards
Water reflects light very differently from typical terrestrial materials.,Water reflects light very differently
"We got it along with all the major annual events surrounding the Oscars"".",We got it along with
"Wells Fargo has a regional headquarters, an operations center campus, and a $400million data center in Birmingham.",Wells Fargo has a regional
"What is now the counties of Baldwin and Mobile became part of Spanish West Florida in 1783, part of the independent Republic of West Florida in 1810, and was finally added to the Mississippi Territory in 1812.",What is now the counties
"What is today called Aristotelian logic with its types of syllogism (methods of logical argument), Aristotle himself would have labelled ""analytics"".",What is today called Aristotelian
"When Memnon, son of the Dawn Goddess Eos and king of Ethiopia, slays Antilochus, Achilles once more obtains revenge on the battlefield, killing Memnon.","When Memnon, son of the"
"When Penthesilea, queen of the Amazons and daughter of Ares, arrives in Troy, Priam hopes that she will defeat Achilles.","When Penthesilea, queen of the"
"When Sulla seized Athens in , he seized the library and transferred it to Rome.",When Sulla seized Athens in
"When an area's albedo changes due to snowfall, a snow–temperature feedback results.",When an area's albedo changes
"When one looks at an apple, for example, one sees an apple, and one can also analyse a form of an apple.",When one looks at an
"When seen from a distance, the ocean surface has a low albedo, as do most forests, whereas desert areas have some of the highest albedos among landforms.","When seen from a distance,"
"When she had Achilles, Peleus noticed, tore him from the flames with only a burnt foot, and confided him to the centaur Chiron.","When she had Achilles, Peleus"
"When the ancient Greeks adopted the alphabet, they had no use for a letter to represent the glottal stop—the consonant sound that the letter denoted in Phoenician and other Semitic languages, and that was the first phoneme of the Phoenician pronunciation of the letter—so they used their version of the sign to represent the vowel , and called it by the similar name of alpha.",When the ancient Greeks adopted
"Whig theory of a presidency
Lincoln adhered to the Whig theory of a presidency focused on executing laws while deferring to Congress' responsibility for legislating.",Whig theory of a presidency
"While Alabama's public education system has improved in recent decades, it lags behind in achievement compared to other states.",While Alabama's public education system
"While few anarchist education institutions have survived to the modern-day, major tenets of anarchist schools, among them respect for child autonomy and relying on reasoning rather than indoctrination as a teaching method, have spread among mainstream educational institutions.",While few anarchist education institutions
"While having revolutionary aspirations, many forms of anarchism are not confrontational nowadays.","While having revolutionary aspirations, many"
While it is believed that Aristotle's Poetics originally comprised two books – one on comedy and one on tragedy – only the portion that focuses on tragedy has survived.,While it is believed that
"While later accepting the Best Actor award for King Richard, Smith apologized to the Academy and the other nominees, but not to Rock.",While later accepting the Best
"While opposition to the state is central to anarchist thought, defining anarchism is not an easy task for scholars, as there is a lot of discussion among scholars and anarchists on the matter, and various currents perceive anarchism slightly differently.",While opposition to the state
"While the planter class had persuaded poor whites to vote for this legislative effort to suppress black voting, the new restrictions resulted in their disenfranchisement as well, due mostly to the imposition of a cumulative poll tax.",While the planter class had
"While the term libertarian has been largely synonymous with anarchism, its meaning has more recently been diluted by wider adoption from ideologically disparate groups, including both the New Left and libertarian Marxists, who do not associate themselves with authoritarian socialists or a vanguard party, and extreme cultural liberals, who are primarily concerned with civil liberties.",While the term libertarian has
"William Tecumseh Sherman talked to Lincoln during inauguration week and was ""sadly disappointed"" at his failure to realize that ""the country was sleeping on a volcano"" and that the South was preparing for war.",William Tecumseh Sherman talked to
"Winfield Scott, even after his retirement as Commanding General of the United States Army.","Winfield Scott, even after his"
"Winters are generally mild in Alabama, as they are throughout most of the Southeastern United States, with average January low temperatures around  in Mobile and around  in Birmingham.",Winters are generally mild in
"With Lycomedes' daughter Deidamia, with whom he had begun a relationship, Achilles there fathered two sons, Neoptolemus (also called Pyrrhus, after his father's possible alias) and Oneiros.","With Lycomedes' daughter Deidamia, with"
"With the Greek forces on the verge of absolute destruction, Patroclus leads the Myrmidons into battle, wearing Achilles' armour, though Achilles remains at his camp.",With the Greek forces on
